case_id,category,voice,reference_text
h0001,claim,tai_female_1,你好我有投保凱基人壽的醫療保險上個月我因為盲腸炎住院開刀住了五天想請問門診手術跟住院醫療保險金要怎麼申請需要準備哪些資料我已經有拿到醫院開的診斷證明書跟收據不知道這樣的文件格式有沒有符合理賠申請的要求麻煩幫我說明一下申請的流程
h0002,claim,tai_female_1,你好我爸爸上個月確診了肺癌第三期目前在做化學治療他有投保凱基人壽的癌症保險我想了解看看可以申請哪些給付項目我知道有癌症初次診斷的保險金不知道化療的費用有沒有辦法申請另外如果後續要做放射線治療的話這個也在保障範圍內嗎
h0003,claim,tai_female_1,你好我媽媽因為中風住院醫生說她符合長期照顧的失能狀況她有買凱基人壽的長照保險想要問一下申請長期照顧分期保險金的手續是什麼請問認定失能需要什麼樣的醫療文件是要神經科專科醫師開的診斷書嗎另外我想確認保單上面有寫保費豁免的條款達到長照認定之後就不用再繳保費了嗎
h0004,claim,tai_female_1,你好我上週剛出院我有投保凱基人壽的手術保險這次是在地區醫院做腹腔鏡手術想問一下手術保險金怎麼申請地區醫院跟醫學中心的給付金額會不一樣嗎另外我在開刀前後都有回診保單條款好像有提到住院前後門診也有保障這個部分的費用也可以一起申請嗎麻煩幫我說明一下需要準備的文件清單
h0005,claim,tai_female_1,你好我最近被公司診斷出有職業病需要長期治療我有投保凱基人壽的重大疾病保險想詢問這個情況符不符合申請重大疾病保險金的條件如果符合條件的話請問保險金是一次性給付還是可以分期領以及需要準備哪些醫療證明文件另外想請問從提出申請到完成核定大概要多少時間
h0006,policy,tai_female_1,你好我想了解一下我的保單附約內容我記得當初買的時候有加附幾個附約但是我不太清楚每個附約分別保障什麼可以請幫我說明一下嗎特別是有一個意外傷害附約我想知道如果騎機車出車禍受傷這樣算不算在保障範圍內骨折或是韌帶受傷有沒有特別的給付標準
h0007,policy,tai_female_1,你好我有一張凱基人壽的終身壽險保單我想詢問保單借款的相關事宜請問目前這張保單有多少保單價值準備金可以借款的額度大概是多少我目前需要一筆週轉金想看看用保單借款的方式請問借款的利率是多少還款的方式怎麼處理會不會影響到保單的效力或是將來的給付
h0008,product,tai_female_1,你好我想了解你們有沒有適合四十歲左右購買的健康險我目前沒有任何健康方面的保障想幫自己規劃一個完整的醫療保障計畫我比較在意的是住院醫療跟重大疾病的部分請問你們有哪些商品可以推薦保費大概是多少以及各個商品的主要保障範圍是什麼
h0009,product,tai_female_1,你好我想詢問你們心康泰健康險的內容聽業務說這個商品保障很完整但我想多了解一些細節特別是手術跟住院的部分是怎麼計算的另外我想知道等待期是多久如果在等待期內發生疾病或是意外保障是完全沒有還是有什麼例外的情況保單條款裡面有沒有什麼需要特別注意的地方
h0010,premium,tai_female_1,你好我的保單快到期了想請問續保的流程是什麼需要重新做健康告知或是體檢嗎另外續保的保費會不會因為年齡增加而調漲我已經繳了十五年的保費想確認一下如果這次續保保障內容會不會有什麼變動或者有沒有更好的商品可以讓我參考評估看看
h0011,claim,tai_male_1,你好我想申請凱基人壽的傷害保險金我上個月騎腳踏車不小心跌倒造成鎖骨骨折在醫院住院三天另外出院之後也持續在門診復健請問這個情況可以申請傷害住院保險金嗎門診復健的費用有沒有在保障範圍內骨折的話有沒有另外的骨折保險金可以申請需要準備哪些文件
h0012,claim,tai_male_1,你好我上個月有申請理賠現在想確認一下審核進度我是在三月初提出申請的請問目前案件的狀況如何還需要多久才會完成審核我在提出申請的時候有附上醫院開的所有診斷書跟費用收據不知道是不是還有什麼資料不齊全如果需要補件的話麻煩告訴我我可以盡快準備
h0013,beneficiary,tai_male_1,你好我想要辦理受益人變更我之前設定的受益人是我前任太太但是我們已經離婚了我想把受益人改成我現在的太太請問這個手續要怎麼辦理另外我也想確認一下除了受益人之外我的聯絡地址跟電話也需要一起更新請問這些資料變更需要親自到公司辦理還是可以用線上的方式處理
h0014,surrender,tai_male_1,你好我最近在考慮要不要解約我這張保單已經繳了八年想了解一下如果現在解約我可以拿回多少解約金跟總繳保費相比大概虧損多少我知道現在解約可能不太划算但我目前資金比較緊也有考慮用保單借款的方式請問保單借款跟解約相比哪個對我比較有利可以幫我分析一下嗎
h0015,claim,tai_male_1,你好我太太去年底確診乳癌有做手術跟化療我們有投保凱基人壽的癌症保險已經申請了初次診斷的保險金現在想再申請化療跟住院的部分請問化療保險金是按照療程次數計算還是按照費用實報實銷住院期間如果有在加護病房加護病房的保險金跟普通病房的計算方式一樣嗎
h0016,premium,tai_male_1,你好我想確認一下我的保費繳費紀錄因為我最近換了銀行帳號想確認上個月的保費有沒有成功扣款如果沒有扣到的話要怎麼補繳另外我想詢問能不能改變繳費方式從現在的月繳改成年繳我記得年繳好像會比較便宜請問如果改成年繳每年的保費大概是多少從什麼時候開始生效
h0017,policy,tai_male_1,你好我收到一份保單條款的更新通知但是裡面的文字很多我看不懂我想請幫我解釋一下保單條款裡面幾個比較重要的項目特別是除外責任的部分另外我想確認一下我的保單有沒有包含失能的保障如果因為意外或是疾病造成殘廢保險公司的給付標準是怎麼計算的可以給我一個大概的說明嗎
h0018,product,tai_male_1,你好我是替我父母詢問保險的事情他們兩位現在六十五歲左右請問你們有沒有適合長輩購買的醫療保險或是壽險保費不要太貴的我父母目前身體還算健康但年紀大了難免會擔心想幫他們規劃一個基本的保障請問以六十五歲投保一年的保費大概要多少保障的內容有哪些
h0019,policy,tai_male_1,你好我最近結婚了我太太也希望能有一個保障我想幫她投保請問可以幫我說明一下目前有哪些適合新婚女性購買的保險商品嗎我們打算明年要生小孩所以我也想了解看看有沒有針對生育或是母嬰保障的商品以及小孩出生之後要怎麼幫他規劃保險謝謝的說明
h0020,claim,tai_male_1,你好我上個月因為急性腎炎住院總共住了十天我有投保凱基人壽的住院醫療保險想要申請住院日額保險金跟醫療費用的給付我在醫院的時候有做了幾項特殊檢查費用不低想確認這些檢查費用有沒有在保障範圍內另外出院之後還要繼續回診拿藥門診的費用有沒有辦法一起申請
