case_id,slice,signal_strength,recording_start,agent_voice,customer_voice,same_voice,b5_pred,b5_correct,b5_conf,agent_speaker_score,customer_speaker_score
v2_rol001,agent_barge_in,strong,full_call,zh-TW-HsiaoChenNeural,zh-TW-YunJheNeural,False,agent,True,0.2581,0.2137,-0.0445
v2_rol002,agent_barge_in,strong,full_call,zh-TW-YunJheNeural,zh-TW-HsiaoYuNeural,False,customer,False,0.1045,-0.0304,0.0741
v2_rol003,agent_barge_in,medium,mid_call,zh-TW-HsiaoYuNeural,zh-TW-YunJheNeural,False,agent,True,0.1396,0.0706,-0.069
v2_rol004,agent_barge_in,weak,mid_call,zh-TW-HsiaoChenNeural,zh-TW-HsiaoYuNeural,False,agent,True,0.3097,0.1981,-0.1115
v2_rol005,clean_turn_taking,strong,full_call,zh-TW-HsiaoChenNeural,zh-TW-YunJheNeural,False,agent,True,0.2639,0.2149,-0.0489
v2_rol006,clean_turn_taking,strong,full_call,zh-TW-YunJheNeural,zh-TW-HsiaoYuNeural,False,customer,False,0.1061,-0.027,0.0791
v2_rol007,clean_turn_taking,strong,full_call,zh-TW-HsiaoChenNeural,zh-TW-YunJheNeural,False,agent,True,0.2588,0.2116,-0.0473
v2_rol008,clean_turn_taking,medium,mid_call,zh-TW-HsiaoChenNeural,zh-TW-HsiaoYuNeural,False,agent,True,0.1492,0.2125,0.0633
v2_rol009,clean_turn_taking,medium,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoChenNeural,False,customer,False,0.2037,-0.0161,0.1876
v2_rol010,clean_turn_taking,medium,mid_call,zh-TW-HsiaoChenNeural,zh-TW-HsiaoYuNeural,False,agent,True,0.171,0.2131,0.0421
v2_rol011,codeswitch,strong,full_call,zh-TW-HsiaoChenNeural,tai_male_1,False,agent,True,0.2598,0.2092,-0.0505
v2_rol012,codeswitch,weak,mid_call,zh-TW-YunJheNeural,tai_female_1,False,customer,False,0.1284,-0.0294,0.099
v2_rol013,customer_barge_in,strong,full_call,zh-TW-YunJheNeural,zh-TW-HsiaoYuNeural,False,customer,False,0.1055,-0.028,0.0775
v2_rol014,customer_barge_in,weak,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoChenNeural,False,customer,False,0.2253,-0.0293,0.196
v2_rol015,customer_barge_in,weak,mid_call,zh-TW-HsiaoChenNeural,tai_male_1,False,agent,True,0.2219,0.1944,-0.0275
v2_rol016,customer_barge_in,weak,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoChenNeural,False,customer,False,0.1986,-0.02,0.1787
v2_rol017,hokkien_pure,strong,full_call,tai_female_1,tai_male_1,False,agent,True,0.1481,0.1012,-0.0469
v2_rol018,hokkien_pure,strong,full_call,tai_male_1,tai_female_1,False,customer,False,0.1337,-0.0385,0.0951
v2_rol019,hokkien_pure,medium,mid_call,tai_female_1,tai_male_1,False,agent,True,0.1279,0.0926,-0.0353
v2_rol020,hokkien_pure,weak,mid_call,tai_male_1,tai_female_1,False,customer,False,0.1255,-0.0489,0.0766
v2_rol021,no_pii_product_inquiry,strong,full_call,zh-TW-HsiaoChenNeural,zh-TW-YunJheNeural,False,agent,True,0.258,0.2132,-0.0448
v2_rol022,no_pii_product_inquiry,weak,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoYuNeural,False,customer,False,0.1111,-0.0374,0.0737
v2_rol023,no_pii_product_inquiry,weak,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoChenNeural,False,customer,False,0.242,-0.0262,0.2158
v2_rol024,reentry_long_gap,strong,full_call,zh-TW-HsiaoChenNeural,zh-TW-YunJheNeural,False,agent,True,0.2795,0.2126,-0.0669
v2_rol025,reentry_long_gap,medium,mid_call,zh-TW-HsiaoChenNeural,zh-TW-YunJheNeural,False,agent,True,0.2407,0.1955,-0.0452
v2_rol026,reentry_short_gap,strong,full_call,zh-TW-HsiaoYuNeural,zh-TW-YunJheNeural,False,agent,True,0.1252,0.0919,-0.0333
v2_rol027,reentry_short_gap,medium,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoYuNeural,False,customer,False,0.0854,-0.03,0.0554
v2_rol028,reentry_short_gap,weak,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoChenNeural,False,customer,False,0.2213,-0.02,0.2013
v2_rol029,same_gender_similar,weak,mid_call,zh-TW-HsiaoChenNeural,zh-TW-HsiaoYuNeural,False,agent,True,0.1447,0.2056,0.0608
v2_rol030,same_gender_similar,weak,mid_call,zh-TW-HsiaoChenNeural,zh-TW-HsiaoYuNeural,False,agent,True,0.3325,0.21,-0.1225
v2_rol031,same_gender_similar,weak,mid_call,zh-TW-HsiaoChenNeural,zh-TW-HsiaoYuNeural,False,agent,True,0.1141,0.1998,0.0857
v2_rol032,short_backchannel,strong,full_call,zh-TW-HsiaoChenNeural,zh-TW-YunJheNeural,False,agent,True,0.2615,0.1906,-0.0709
v2_rol033,short_backchannel,weak,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoYuNeural,False,customer,False,0.0654,-0.0488,0.0166
v2_rol034,short_backchannel,weak,mid_call,zh-TW-HsiaoYuNeural,zh-TW-HsiaoChenNeural,False,customer,False,0.0276,0.0469,0.0745
v2_rol035,simultaneous_start,strong,full_call,zh-TW-HsiaoYuNeural,zh-TW-YunJheNeural,False,agent,True,0.1165,0.0821,-0.0345
v2_rol036,simultaneous_start,weak,mid_call,zh-TW-HsiaoChenNeural,zh-TW-YunJheNeural,False,agent,True,0.2481,0.2053,-0.0428
v2_rol037,simultaneous_start,weak,mid_call,zh-TW-YunJheNeural,zh-TW-HsiaoChenNeural,False,customer,False,0.2128,-0.0478,0.165
